model_string,cache_key,hit_count,accuracy,mae,training_time_sec
"stack ( XGB ( n_estimators = 10 , max_depth = 2 ) ; final_estimator = SVM , cv = 2 )","stack ( XGB ( n_estimators = 10 , max_depth = 2 ) ; final_estimator = SVM , cv = 2 )",0,0.953125,0.046875,0.36214813100014
"ada ( XGB ( n_estimators = 1 ) ; n_estimators = 10 , learning_rate = 50 )","ada ( XGB ( n_estimators = 1 ) ; n_estimators = 10 , learning_rate = 50 )",2,0.625,0.375,0.3548324179973861
"ada ( DT ( max_depth = 2 , min_samples_leaf = 0.3 ) ; n_estimators = 50 , algorithm = SAMME )","ada ( DT ( max_depth = 2 , min_samples_leaf = 0.3 ) ; n_estimators = 50 , algorithm = SAMME )",0,0.96875,0.03125,0.36182062899752054
ada ( LR ( C = 50 ) ; learning_rate = 10 ),ada ( LR ( C = 50 ) ; learning_rate = 10 ),1,0.375,0.625,0.42085567799949786
bag ( KNN ( n_neighbors = 2 ) ; n_estimators = 1 ),bag ( KNN ( n_neighbors = 2 ) ; n_estimators = 1 ),1,0.96875,0.03125,0.012014623000141
bag ( KNN ( n_neighbors = 2 ) ; n_estimators = 2 ),bag ( KNN ( n_neighbors = 2 ) ; n_estimators = 2 ),0,0.96875,0.03125,0.03657544899760978
ada ( DT ( max_depth = 5 ) ; learning_rate = 0.1 ),ada ( DT ( max_depth = 5 ) ; learning_rate = 0.1 ),0,0.9375,0.0625,0.04952335499910987
"bag ( DT ( criterion = log_loss ) ; n_estimators = 2 , max_features = 0.1 )","bag ( DT ( criterion = log_loss ) ; n_estimators = 2 , max_features = 0.1 )",0,0.890625,0.109375,0.01700506400084123
bag ( DT ( max_depth = 2 ) ; max_samples = 0.1 ),bag ( DT ( max_depth = 2 ) ; max_samples = 0.1 ),0,0.96875,0.03125,0.12256045799949788
"bag ( SVM ( C = 10 ) ; n_estimators = 1 , max_features = 0.1 )","bag ( SVM ( C = 10 ) ; n_estimators = 1 , max_features = 0.1 )",0,0.90625,0.09375,0.013147388002835214
"bag ( LR ( penalty = l2 ) ; n_estimators = 2 , max_samples = 1.0 )","bag ( LR ( penalty = l2 ) ; n_estimators = 2 , max_samples = 1.0 )",0,0.984375,0.015625,0.08717013400018914
bag ( LR ( C = 0.1 ) ; max_features = 0.1 ),bag ( LR ( C = 0.1 ) ; max_features = 0.1 ),1,0.953125,0.046875,0.20531083099922398
bag ( LR ( penalty = l2 ) ; max_samples = 10 ),bag ( LR ( penalty = l2 ) ; max_samples = 10 ),0,0.96875,0.03125,0.2635414420001325
"bag ( LR ( C = 1.0 , max_iter = 50 ) ; max_samples = 10 )","bag ( LR ( C = 1.0 , max_iter = 50 ) ; max_samples = 10 )",1,0.984375,0.015625,0.27008157900127117
stack ( KNN ( n_neighbors = 10 ) ; cv = 1 ),stack ( KNN ( n_neighbors = 10 ) ; cv = 1 ),0,0.984375,0.015625,0.19480330400256207
bag ( LR ( C = 0.1 ) ; max_features = 0.1 ),bag ( LR ( C = 0.1 ) ; max_features = 0.1 ),0,0.953125,0.046875,0.1476481319987215
bag ( KNN ( n_neighbors = 1 ) ; max_features = 1.0 ),bag ( KNN ( n_neighbors = 1 ) ; max_features = 1.0 ),2,0.984375,0.015625,0.1405380399992282
stack ( KNN ( n_neighbors = 10 ) ; cv = 5 ),stack ( KNN ( n_neighbors = 10 ) ; cv = 5 ),0,0.984375,0.015625,0.18367299799865577
"bag ( KNN ( n_neighbors = 3 ) ; n_estimators = 10 , max_samples = 0.5 )","bag ( KNN ( n_neighbors = 3 ) ; n_estimators = 10 , max_samples = 0.5 )",7,0.984375,0.015625,0.09036021299834829
"stack ( XGB ( n_estimators = 3 , max_depth = 2 ) ; cv = 2 )","stack ( XGB ( n_estimators = 3 , max_depth = 2 ) ; cv = 2 )",0,0.953125,0.046875,0.3310676159999275
ada ( LR ( C = 50 ) ; learning_rate = 0.1 ),ada ( LR ( C = 50 ) ; learning_rate = 0.1 ),0,0.984375,0.015625,0.4356521240006259
bag ( XGB ( max_depth = 2 ) ; n_estimators = 5 ),bag ( XGB ( max_depth = 2 ) ; n_estimators = 5 ),0,0.953125,0.046875,0.5529651440010639
bag ( LR ( penalty = elasticnet ) ; max_features = 1.0 ),bag ( LR ( penalty = elasticnet ) ; max_features = 1.0 ),2,0.984375,0.015625,1.0297399609989952
bag ( LR ( penalty = elasticnet ) ; max_features = 0.1 ),bag ( LR ( penalty = elasticnet ) ; max_features = 0.1 ),0,0.953125,0.046875,0.1023797489979188
"stack ( LR ( penalty = l1 ) ; final_estimator = KNN , cv = 2 )","stack ( LR ( penalty = l1 ) ; final_estimator = KNN , cv = 2 )",0,0.984375,0.015625,0.1237068519985769
"bag ( LR ( C = 1.0 , max_iter = 1 ) ; n_estimators = 1 )","bag ( LR ( C = 1.0 , max_iter = 1 ) ; n_estimators = 1 )",0,0.96875,0.03125,0.007097500001691515
"stack ( DT ( max_depth = 3 , criterion = entropy ) ; final_estimator = GB )","stack ( DT ( max_depth = 3 , criterion = entropy ) ; final_estimator = GB )",0,0.96875,0.03125,0.10699110399946221
"bag ( KNN ( n_neighbors = 3 ) ; n_estimators = 10 , max_samples = 10 )","bag ( KNN ( n_neighbors = 3 ) ; n_estimators = 10 , max_samples = 10 )",1,0.953125,0.046875,0.01061559300069348
stack ( KNN ( n_neighbors = 3 ) ; final_estimator = NB ),stack ( KNN ( n_neighbors = 3 ) ; final_estimator = NB ),0,0.984375,0.015625,0.18722387500019977
bag ( KNN ( n_neighbors = 2 ) ; max_features = 0.5 ),bag ( KNN ( n_neighbors = 2 ) ; max_features = 0.5 ),1,0.96875,0.03125,0.17212261899840087
stack ( KNN ( n_neighbors = 3 ) ; final_estimator = XGB ),stack ( KNN ( n_neighbors = 3 ) ; final_estimator = XGB ),0,0.984375,0.015625,0.2013370099994063
"stack ( SVM ( kernel = linear ) , LR ( penalty = l1 ) ; cv = 1 )","stack ( SVM ( kernel = linear ) , LR ( penalty = l1 ) ; cv = 1 )",0,0.984375,0.015625,0.26456937799957814
"bag ( LR ( penalty = l2 ) ; n_estimators = 3 , max_samples = 50 )","bag ( LR ( penalty = l2 ) ; n_estimators = 3 , max_samples = 50 )",5,0.984375,0.015625,0.08651855499920202
bag ( DT ( criterion = entropy ) ; max_features = 10 ),bag ( DT ( criterion = entropy ) ; max_features = 10 ),0,0.96875,0.03125,0.08236219199898187
bag ( KNN ( n_neighbors = 10 ) ; max_samples = 0.1 ),bag ( KNN ( n_neighbors = 10 ) ; max_samples = 0.1 ),0,0.953125,0.046875,0.0933109149991651
"stack ( KNN ( n_neighbors = 3 ) ; final_estimator = KNN , cv = 1 )","stack ( KNN ( n_neighbors = 3 ) ; final_estimator = KNN , cv = 1 )",0,0.984375,0.015625,0.16321131299991976
bag ( KNN ( n_neighbors = 2 ) ; max_samples = 1.0 ),bag ( KNN ( n_neighbors = 2 ) ; max_samples = 1.0 ),0,0.984375,0.015625,0.1123760089976713
bag ( LR ( C = 50 ) ; max_samples = 50 ),bag ( LR ( C = 50 ) ; max_samples = 50 ),4,0.984375,0.015625,0.3044096300000092
bag ( LR ( C = 50 ) ; max_samples = 0.1 ),bag ( LR ( C = 50 ) ; max_samples = 0.1 ),1,0.984375,0.015625,0.35526306700194255
bag ( LR ( C = 0.5 ) ; n_estimators = 2 ),bag ( LR ( C = 0.5 ) ; n_estimators = 2 ),6,0.984375,0.015625,0.07112000300185173
bag ( NB ( var_smoothing = 1e-7 ) ; n_estimators = 2 ),bag ( NB ( var_smoothing = 1e-7 ) ; n_estimators = 2 ),0,0.953125,0.046875,0.08719150199976866
"bag ( LR ( C = 10 , max_iter = 5 ) ; n_estimators = 2 , max_features = 0.1 )","bag ( LR ( C = 10 , max_iter = 5 ) ; n_estimators = 2 , max_features = 0.1 )",0,0.953125,0.046875,0.026595051000185777
ada ( LR ( C = 1.0 ) ; n_estimators = 2 ),ada ( LR ( C = 1.0 ) ; n_estimators = 2 ),0,0.96875,0.03125,0.07670838199919672
ada ( LR ( C = 0.1 ) ; algorithm = SAMME ),ada ( LR ( C = 0.1 ) ; algorithm = SAMME ),0,0.984375,0.015625,0.38428037900303025
stack ( KNN ( n_neighbors = 10 ) ; final_estimator = NB ),stack ( KNN ( n_neighbors = 10 ) ; final_estimator = NB ),0,0.984375,0.015625,0.14811607799856574
stack ( GB ( n_estimators = 2 ) ; cv = 1 ),stack ( GB ( n_estimators = 2 ) ; cv = 1 ),0,0.96875,0.03125,0.1706268820016703
"stack ( NB ( var_smoothing = 1e-6 ) ; final_estimator = NB , cv = 2 )","stack ( NB ( var_smoothing = 1e-6 ) ; final_estimator = NB , cv = 2 )",0,0.953125,0.046875,0.12936374399941997
bag ( LR ( C = 10 ) ; max_samples = 1.0 ),bag ( LR ( C = 10 ) ; max_samples = 1.0 ),0,0.984375,0.015625,0.32214480599941453
stack ( KNN ( n_neighbors = 50 ) ; cv = 5 ),stack ( KNN ( n_neighbors = 50 ) ; cv = 5 ),1,0.984375,0.015625,0.18660617800196633
"stack ( XGB ( n_estimators = 10 , max_depth = 50 ) ; final_estimator = KNN )","stack ( XGB ( n_estimators = 10 , max_depth = 50 ) ; final_estimator = KNN )",0,0.953125,0.046875,0.3633026339994103
"stack ( GB ( n_estimators = 2 , learning_rate = 0.1 ) , NB ( var_smoothing = 1e-8 ) , LR ( C = 50 ) , DT ( max_depth = 1 ) ; final_estimator = DT )","stack ( GB ( n_estimators = 2 , learning_rate = 0.1 ) , NB ( var_smoothing = 1e-8 ) , LR ( C = 50 ) , DT ( max_depth = 1 ) ; final_estimator = DT )",0,0.984375,0.015625,0.38618537900038064
bag ( GB ( learning_rate = 0.5 ) ; max_samples = 10 ),bag ( GB ( learning_rate = 0.5 ) ; max_samples = 10 ),0,0.96875,0.03125,0.7725541049985623
"bag ( LR ( C = 0.1 ) ; n_estimators = 1 , max_features = 0.5 )","bag ( LR ( C = 0.1 ) ; n_estimators = 1 , max_features = 0.5 )",0,0.984375,0.015625,0.05894332900061272
bag ( LR ( penalty = l1 ) ; max_samples = 50 ),bag ( LR ( penalty = l1 ) ; max_samples = 50 ),0,0.984375,0.015625,0.09902650799995172
"bag ( DT ( max_depth = 5 , criterion = entropy ) ; max_samples = 0.5 )","bag ( DT ( max_depth = 5 , criterion = entropy ) ; max_samples = 0.5 )",0,0.953125,0.046875,0.14452402800088748
stack ( SVM ( kernel = linear ) ; final_estimator = SVM ),stack ( SVM ( kernel = linear ) ; final_estimator = SVM ),0,0.984375,0.015625,0.16817816399998264
"bag ( KNN ( n_neighbors = 3 ) ; n_estimators = 5 , max_samples = 0.5 )","bag ( KNN ( n_neighbors = 3 ) ; n_estimators = 5 , max_samples = 0.5 )",3,0.984375,0.015625,0.058601280998118455
"bag ( KNN ( n_neighbors = 3 ) ; n_estimators = 10 , max_samples = 0.1 )","bag ( KNN ( n_neighbors = 3 ) ; n_estimators = 10 , max_samples = 0.1 )",4,0.984375,0.015625,0.06663262100119027
"bag ( LR ( C = 1.0 , max_iter = 5 ) ; max_samples = 50 )","bag ( LR ( C = 1.0 , max_iter = 5 ) ; max_samples = 50 )",0,0.984375,0.015625,0.18408872000145493
bag ( KNN ( n_neighbors = 3 ) ; n_estimators = 3 ),bag ( KNN ( n_neighbors = 3 ) ; n_estimators = 3 ),2,0.984375,0.015625,0.026847329001611797
"bag ( LR ( C = 1.0 , max_iter = 50 ) ; n_estimators = 1 , max_features = 10 )","bag ( LR ( C = 1.0 , max_iter = 50 ) ; n_estimators = 1 , max_features = 10 )",0,0.984375,0.015625,0.05530107400045381
"bag ( LR ( C = 0.1 ) ; n_estimators = 3 , max_features = 0.1 )","bag ( LR ( C = 0.1 ) ; n_estimators = 3 , max_features = 0.1 )",0,0.953125,0.046875,0.059824699001183035
"stack ( SVM ( kernel = linear ) , LR ( penalty = l1 ) ; final_estimator = KNN , cv = 1 )","stack ( SVM ( kernel = linear ) , LR ( penalty = l1 ) ; final_estimator = KNN , cv = 1 )",0,0.984375,0.015625,0.24896619900027872
"bag ( KNN ( n_neighbors = 3 ) ; n_estimators = 10 , max_samples = 1.0 )","bag ( KNN ( n_neighbors = 3 ) ; n_estimators = 10 , max_samples = 1.0 )",5,0.984375,0.015625,0.13257040299868095
bag ( LR ( C = 0.5 ) ; max_features = 0.1 ),bag ( LR ( C = 0.5 ) ; max_features = 0.1 ),3,0.984375,0.015625,0.21950044899858767
"bag ( LR ( penalty = l2 ) ; n_estimators = 3 , max_samples = 1.0 )","bag ( LR ( penalty = l2 ) ; n_estimators = 3 , max_samples = 1.0 )",1,0.984375,0.015625,0.1459934329977841
"bag ( LR ( C = 1.0 , max_iter = 10 ) ; n_estimators = 10 )","bag ( LR ( C = 1.0 , max_iter = 10 ) ; n_estimators = 10 )",0,0.984375,0.015625,0.3279078829982609
"bag ( LR ( C = 50 ) ; n_estimators = 3 , max_features = 0.1 )","bag ( LR ( C = 50 ) ; n_estimators = 3 , max_features = 0.1 )",0,0.90625,0.09375,0.045187214000179665
stack ( NB ( var_smoothing = 1e-9 ) ; final_estimator = XGB ),stack ( NB ( var_smoothing = 1e-9 ) ; final_estimator = XGB ),0,0.953125,0.046875,0.24674413700267905
stack ( NB ( var_smoothing = 1e-9 ) ; cv = 2 ),stack ( NB ( var_smoothing = 1e-9 ) ; cv = 2 ),0,0.953125,0.046875,0.24458144899836043
stack ( GB ( n_estimators = 5 ) ; final_estimator = RF ),stack ( GB ( n_estimators = 5 ) ; final_estimator = RF ),0,0.953125,0.046875,0.46856198200111976
ada ( LR ( C = 0.5 ) ; learning_rate = 50 ),ada ( LR ( C = 0.5 ) ; learning_rate = 50 ),0,0.375,0.625,0.6513271119983983
"stack ( DT ( max_depth = 2 , min_samples_split = 0.4 ) , KNN ( n_neighbors = 2 ) , KNN ( n_neighbors = 1 ) , RF ( max_depth = 2 ) , DT ( max_depth = 50 ) ; final_estimator = GB )","stack ( DT ( max_depth = 2 , min_samples_split = 0.4 ) , KNN ( n_neighbors = 2 ) , KNN ( n_neighbors = 1 ) , RF ( max_depth = 2 ) , DT ( max_depth = 50 ) ; final_estimator = GB )",0,0.96875,0.03125,1.0483095909985423
"stack ( GB ( n_estimators = 50 , learning_rate = 10 ) ; final_estimator = RF )","stack ( GB ( n_estimators = 50 , learning_rate = 10 ) ; final_estimator = RF )",0,0.140625,0.859375,1.4797558700010995
"stack ( GB ( n_estimators = 50 ) ; final_estimator = XGB , cv = 50 )","stack ( GB ( n_estimators = 50 ) ; final_estimator = XGB , cv = 50 )",0,0.953125,0.046875,1.4581830729985086
"stack ( NB ( var_smoothing = 1e-9 ) , SVM ( C = 0.1 , kernel = rbf ) , DT ( criterion = gini ) , DT ( max_depth = 10 , criterion = log_loss , min_samples_split = 0.3 ) , RF ( n_estimators = 10 ) , LR ( C = 10 ) , GB ( learning_rate = 50 ) , NB ( var_smoothing = 1e-8 ) , DT ( max_depth = 3 , min_samples_split = 50 ) ; final_estimator = NB , cv = 1 )","stack ( NB ( var_smoothing = 1e-9 ) , SVM ( C = 0.1 , kernel = rbf ) , DT ( criterion = gini ) , DT ( max_depth = 10 , criterion = log_loss , min_samples_split = 0.3 ) , RF ( n_estimators = 10 ) , LR ( C = 10 ) , GB ( learning_rate = 50 ) , NB ( var_smoothing = 1e-8 ) , DT ( max_depth = 3 , min_samples_split = 50 ) ; final_estimator = NB , cv = 1 )",0,0.984375,0.015625,2.5531734799988044
bag ( KNN ( n_neighbors = 1 ) ; n_estimators = 2 ),bag ( KNN ( n_neighbors = 1 ) ; n_estimators = 2 ),0,0.96875,0.03125,0.026504928999202093
bag ( LR ( C = 0.5 ) ; n_estimators = 3 ),bag ( LR ( C = 0.5 ) ; n_estimators = 3 ),0,0.984375,0.015625,0.13778229800300323
"bag ( LR ( C = 1.0 , max_iter = 10 ) ; n_estimators = 3 )","bag ( LR ( C = 1.0 , max_iter = 10 ) ; n_estimators = 3 )",0,0.984375,0.015625,0.08292530499966233
"stack ( SVM ( C = 50 ) ; final_estimator = KNN , cv = 1 )","stack ( SVM ( C = 50 ) ; final_estimator = KNN , cv = 1 )",0,0.984375,0.015625,0.18851199099663063
"bag ( KNN ( n_neighbors = 5 ) ; n_estimators = 10 , max_samples = 0.1 )","bag ( KNN ( n_neighbors = 5 ) ; n_estimators = 10 , max_samples = 0.1 )",0,0.96875,0.03125,0.03908801999932621
bag ( KNN ( n_neighbors = 3 ) ; n_estimators = 1 ),bag ( KNN ( n_neighbors = 3 ) ; n_estimators = 1 ),0,0.984375,0.015625,0.00611016400216613
"bag ( XGB ( n_estimators = 3 , max_depth = 2 ) ; n_estimators = 2 )","bag ( XGB ( n_estimators = 3 , max_depth = 2 ) ; n_estimators = 2 )",0,0.953125,0.046875,0.23646254500272335
"stack ( SVM ( kernel = linear ) , LR ( penalty = l1 ) ; final_estimator = GB , cv = 1 )","stack ( SVM ( kernel = linear ) , LR ( penalty = l1 ) ; final_estimator = GB , cv = 1 )",0,0.984375,0.015625,0.25149370200233534
"bag ( LR ( C = 50 , max_iter = 10 ) ; max_samples = 0.5 )","bag ( LR ( C = 50 , max_iter = 10 ) ; max_samples = 0.5 )",0,0.984375,0.015625,0.32748465099939494
"bag ( NB ( var_smoothing = 1e-8 ) ; n_estimators = 3 , max_features = 0.1 )","bag ( NB ( var_smoothing = 1e-8 ) ; n_estimators = 3 , max_features = 0.1 )",0,0.9375,0.0625,0.0335121860007348
"bag ( LR ( C = 10 ) ; n_estimators = 2 , max_samples = 1.0 )","bag ( LR ( C = 10 ) ; n_estimators = 2 , max_samples = 1.0 )",0,0.984375,0.015625,0.15887705299974186
bag ( LR ( C = 0.1 ) ; n_estimators = 10 ),bag ( LR ( C = 0.1 ) ; n_estimators = 10 ),0,0.984375,0.015625,0.28714827499788953
bag ( LR ( C = 1.0 ) ; max_features = 1.0 ),bag ( LR ( C = 1.0 ) ; max_features = 1.0 ),0,0.984375,0.015625,0.42530722499941476
"bag ( GB ( n_estimators = 3 , learning_rate = 0.1 ) ; n_estimators = 10 )","bag ( GB ( n_estimators = 3 , learning_rate = 0.1 ) ; n_estimators = 10 )",0,0.953125,0.046875,0.41042427900174516
bag ( LR ( C = 0.5 ) ; n_estimators = 10 ),bag ( LR ( C = 0.5 ) ; n_estimators = 10 ),0,0.984375,0.015625,0.3937337169991224
bag ( LR ( C = 50 ) ; max_features = 0.1 ),bag ( LR ( C = 50 ) ; max_features = 0.1 ),0,0.96875,0.03125,0.2922614920025808
bag ( LR ( C = 1.0 ) ; n_estimators = 1 ),bag ( LR ( C = 1.0 ) ; n_estimators = 1 ),0,0.984375,0.015625,0.04330487200058997
"bag ( KNN ( n_neighbors = 3 ) ; n_estimators = 3 , max_samples = 10 )","bag ( KNN ( n_neighbors = 3 ) ; n_estimators = 3 , max_samples = 10 )",0,0.953125,0.046875,0.0035367139971640427
"stack ( LR ( C = 0.1 , max_iter = 2 ) ; cv = 3 )","stack ( LR ( C = 0.1 , max_iter = 2 ) ; cv = 3 )",0,0.96875,0.03125,0.059548278997681336
bag ( LR ( C = 0.5 ) ; max_samples = 50 ),bag ( LR ( C = 0.5 ) ; max_samples = 50 ),0,0.96875,0.03125,0.18185531800190802
"bag ( LR ( C = 0.5 ) ; n_estimators = 10 , max_features = 0.5 )","bag ( LR ( C = 0.5 ) ; n_estimators = 10 , max_features = 0.5 )",0,0.96875,0.03125,0.28455739700075355
bag ( LR ( C = 50 ) ; max_features = 1.0 ),bag ( LR ( C = 50 ) ; max_features = 1.0 ),3,0.984375,0.015625,0.5770337199974165
bag ( GB ( n_estimators = 3 ) ; max_features = 1.0 ),bag ( GB ( n_estimators = 3 ) ; max_features = 1.0 ),0,0.96875,0.03125,0.27209105500151054
"stack ( GB ( n_estimators = 10 , learning_rate = 50 ) ; final_estimator = SVM )","stack ( GB ( n_estimators = 10 , learning_rate = 50 ) ; final_estimator = SVM )",0,0.625,0.375,0.6721516860015981
"stack ( NB ( var_smoothing = 1e-9 ) , SVM ( C = 0.1 , kernel = rbf ) , DT ( criterion = gini ) , DT ( max_depth = 10 , criterion = log_loss , min_samples_split = 0.3 ) , RF ( n_estimators = 10 ) , LR ( C = 50 ) , GB ( n_estimators = 10 ) ; final_estimator = KNN , cv = 5 )","stack ( NB ( var_smoothing = 1e-9 ) , SVM ( C = 0.1 , kernel = rbf ) , DT ( criterion = gini ) , DT ( max_depth = 10 , criterion = log_loss , min_samples_split = 0.3 ) , RF ( n_estimators = 10 ) , LR ( C = 50 ) , GB ( n_estimators = 10 ) ; final_estimator = KNN , cv = 5 )",0,0.984375,0.015625,0.6337923460014281
bag ( LR ( penalty = elasticnet ) ; max_samples = 50 ),bag ( LR ( penalty = elasticnet ) ; max_samples = 50 ),0,0.984375,0.015625,1.133895085000404
"stack ( NB ( var_smoothing = 1e-9 ) , SVM ( C = 0.1 , kernel = rbf ) , DT ( criterion = gini ) , DT ( max_depth = 10 , criterion = log_loss , min_samples_split = 0.3 ) , RF ( n_estimators = 10 ) , LR ( C = 10 ) , GB ( learning_rate = 50 ) , NB ( var_smoothing = 1e-9 ) , DT ( max_depth = 3 , min_samples_split = 50 ) ; final_estimator = NB , cv = 1 )","stack ( NB ( var_smoothing = 1e-9 ) , SVM ( C = 0.1 , kernel = rbf ) , DT ( criterion = gini ) , DT ( max_depth = 10 , criterion = log_loss , min_samples_split = 0.3 ) , RF ( n_estimators = 10 ) , LR ( C = 10 ) , GB ( learning_rate = 50 ) , NB ( var_smoothing = 1e-9 ) , DT ( max_depth = 3 , min_samples_split = 50 ) ; final_estimator = NB , cv = 1 )",0,0.984375,0.015625,2.2121921869984362
"bag ( KNN ( n_neighbors = 3 ) ; n_estimators = 5 , max_samples = 10 )","bag ( KNN ( n_neighbors = 3 ) ; n_estimators = 5 , max_samples = 10 )",0,0.953125,0.046875,0.017686040999251418
"bag ( KNN ( n_neighbors = 3 ) ; n_estimators = 5 , max_samples = 50 )","bag ( KNN ( n_neighbors = 3 ) ; n_estimators = 5 , max_samples = 50 )",0,0.984375,0.015625,0.030166035001457203
"bag ( LR ( penalty = elasticnet ) ; n_estimators = 10 , max_features = 0.1 )","bag ( LR ( penalty = elasticnet ) ; n_estimators = 10 , max_features = 0.1 )",0,0.953125,0.046875,0.13885032000325737
"bag ( LR ( C = 0.5 , max_iter = 1 ) ; n_estimators = 10 )","bag ( LR ( C = 0.5 , max_iter = 1 ) ; n_estimators = 10 )",0,0.953125,0.046875,0.16857086999880266
"bag ( LR ( C = 1.0 , max_iter = 1 ) ; n_estimators = 10 , max_features = 0.1 )","bag ( LR ( C = 1.0 , max_iter = 1 ) ; n_estimators = 10 , max_features = 0.1 )",0,0.953125,0.046875,0.1861051329979091
"bag ( LR ( penalty = l1 ) ; n_estimators = 2 , max_samples = 10 )","bag ( LR ( penalty = l1 ) ; n_estimators = 2 , max_samples = 10 )",0,0.875,0.125,0.025968967001972487
"bag ( LR ( penalty = l2 ) ; n_estimators = 3 , max_samples = 10 )","bag ( LR ( penalty = l2 ) ; n_estimators = 3 , max_samples = 10 )",0,0.9375,0.0625,0.15652630600015982
"bag ( SVM ( C = 1.0 , kernel = linear ) ; n_estimators = 10 )","bag ( SVM ( C = 1.0 , kernel = linear ) ; n_estimators = 10 )",0,0.984375,0.015625,0.22351655899910838
"bag ( KNN ( n_neighbors = 1 ) ; n_estimators = 5 , max_samples = 50 )","bag ( KNN ( n_neighbors = 1 ) ; n_estimators = 5 , max_samples = 50 )",0,0.984375,0.015625,0.0066969159997825045
bag ( KNN ( n_neighbors = 1 ) ; n_estimators = 10 ),bag ( KNN ( n_neighbors = 1 ) ; n_estimators = 10 ),0,0.96875,0.03125,0.11573541300094803
"bag ( LR ( penalty = l2 ) ; n_estimators = 10 , max_features = 0.1 )","bag ( LR ( penalty = l2 ) ; n_estimators = 10 , max_features = 0.1 )",0,0.953125,0.046875,0.2481067750013608
bag ( KNN ( n_neighbors = 10 ) ; max_features = 10 ),bag ( KNN ( n_neighbors = 10 ) ; max_features = 10 ),0,0.96875,0.03125,0.19014237499868614
"stack ( SVM ( C = 0.5 , kernel = poly ) ; cv = 10 )","stack ( SVM ( C = 0.5 , kernel = poly ) ; cv = 10 )",0,0.984375,0.015625,0.15358885600289796
"bag ( LR ( C = 50 , max_iter = 10 ) ; max_samples = 1.0 )","bag ( LR ( C = 50 , max_iter = 10 ) ; max_samples = 1.0 )",0,0.984375,0.015625,0.2769842529996822
stack ( KNN ( n_neighbors = 10 ) ; final_estimator = LR ),stack ( KNN ( n_neighbors = 10 ) ; final_estimator = LR ),0,0.984375,0.015625,0.24930254399805563
"bag ( LR ( penalty = l1 ) ; n_estimators = 10 , max_features = 1.0 )","bag ( LR ( penalty = l1 ) ; n_estimators = 10 , max_features = 1.0 )",0,0.984375,0.015625,0.0794363879977027
stack ( KNN ( n_neighbors = 1 ) ; final_estimator = KNN ),stack ( KNN ( n_neighbors = 1 ) ; final_estimator = KNN ),0,0.96875,0.03125,0.1252574509999249
stack ( NB ( var_smoothing = 1e-9 ) ; final_estimator = SVM ),stack ( NB ( var_smoothing = 1e-9 ) ; final_estimator = SVM ),0,0.953125,0.046875,0.23033393699734006
bag ( LR ( C = 0.1 ) ; max_samples = 1.0 ),bag ( LR ( C = 0.1 ) ; max_samples = 1.0 ),0,0.984375,0.015625,0.20020499200109043
bag ( GB ( n_estimators = 10 ) ; max_samples = 10 ),bag ( GB ( n_estimators = 10 ) ; max_samples = 10 ),0,0.9375,0.0625,0.6923050500008685
"stack ( NB ( var_smoothing = 1e-9 ) , GB ( n_estimators = 10 ) ; final_estimator = KNN , cv = 5 )","stack ( NB ( var_smoothing = 1e-9 ) , GB ( n_estimators = 10 ) ; final_estimator = KNN , cv = 5 )",0,0.953125,0.046875,0.9326830229983898
"stack ( NB ( var_smoothing = 1e-9 ) , SVM ( C = 0.1 , kernel = rbf ) , DT ( criterion = gini ) , DT ( max_depth = 10 , criterion = gini , min_samples_split = 0.3 ) , GB ( n_estimators = 3 , learning_rate = 0.1 ) , KNN ( n_neighbors = 5 ) ; final_estimator = XGB )","stack ( NB ( var_smoothing = 1e-9 ) , SVM ( C = 0.1 , kernel = rbf ) , DT ( criterion = gini ) , DT ( max_depth = 10 , criterion = gini , min_samples_split = 0.3 ) , GB ( n_estimators = 3 , learning_rate = 0.1 ) , KNN ( n_neighbors = 5 ) ; final_estimator = XGB )",0,0.984375,0.015625,0.9893508210006985
"bag ( LR ( C = 0.1 , max_iter = 50 ) ; n_estimators = 50 )","bag ( LR ( C = 0.1 , max_iter = 50 ) ; n_estimators = 50 )",0,0.984375,0.015625,0.7764477910022833
bag ( KNN ( n_neighbors = 50 ) ; n_estimators = 50 ),bag ( KNN ( n_neighbors = 50 ) ; n_estimators = 50 ),0,0.984375,0.015625,0.3605545950013038
"bag ( LR ( penalty = elasticnet ) ; n_estimators = 10 , max_features = 1.0 )","bag ( LR ( penalty = elasticnet ) ; n_estimators = 10 , max_features = 1.0 )",0,0.984375,0.015625,1.2173195840005064
"stack ( NB ( var_smoothing = 1e-9 ) , SVM ( C = 0.5 ) , RF ( max_depth = 1 ) ; final_estimator = DT , cv = 50 )","stack ( NB ( var_smoothing = 1e-9 ) , SVM ( C = 0.5 ) , RF ( max_depth = 1 ) ; final_estimator = DT , cv = 50 )",0,0.984375,0.015625,1.5397316670023429
